epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,6925.72,0.52213,0.28896,0.07973,0.30213,0.96853,0.97897,0.98865,0.99213,0.84164,0.94589,0.92965,0.9386,0.85386,0.68126,0.75662,0.07251,0.29422,1.08079,0.000144077,0.000144077,0.000144077
87,7006.78,0.51769,0.32214,0.08041,0.29863,0.96383,0.9856,0.9805,0.99364,0.84707,0.94851,0.92797,0.94779,0.8803,0.67619,0.76288,0.06738,0.29342,1.07991,0.000135077,0.000135077,0.000135077
88,7103.65,0.50088,0.2731,0.0756,0.28839,0.95556,0.98944,0.97858,0.99331,0.84936,0.94392,0.92715,0.93989,0.87215,0.66882,0.74346,0.06842,0.2915,1.07878,0.000126078,0.000126078,0.000126078
89,7151.73,0.5045,0.3162,0.08223,0.29255,0.95895,0.98117,0.98552,0.99366,0.85085,0.95358,0.92613,0.9455,0.87933,0.66737,0.75589,0.06026,0.28854,1.08018,0.000117079,0.000117079,0.000117079
90,7199.84,0.50081,0.29153,0.07653,0.2904,0.95735,0.98453,0.98677,0.99385,0.85313,0.94838,0.92622,0.9402,0.87523,0.66454,0.76507,0.06172,0.28692,1.07607,0.00010808,0.00010808,0.00010808
91,7312.97,0.4273,0.45315,0.14277,0.23305,0.93685,0.98191,0.98638,0.99371,0.83994,0.95184,0.91851,0.93175,0.8642,0.67262,0.75824,0.04978,0.28901,1.08375,9.9081e-05,9.9081e-05,9.9081e-05
92,7363.68,0.40809,0.43032,0.12385,0.2196,0.92796,0.989,0.97877,0.99334,0.84581,0.947,0.92166,0.93054,0.86179,0.66745,0.75419,0.04413,0.29119,1.08057,9.00819e-05,9.00819e-05,9.00819e-05
93,7415.15,0.41138,0.44588,0.11767,0.22121,0.9217,0.98983,0.98013,0.99401,0.85101,0.9474,0.91878,0.92949,0.86106,0.66647,0.7465,0.04478,0.28825,1.0847,8.10828e-05,8.10828e-05,8.10828e-05
94,7487.66,0.40514,0.43644,0.11888,0.21864,0.92649,0.98804,0.9827,0.99379,0.85038,0.9498,0.9224,0.93557,0.86925,0.66607,0.75533,0.03951,0.28979,1.08323,7.20837e-05,7.20837e-05,7.20837e-05
95,7588.87,0.39389,0.43724,0.10874,0.21422,0.92203,0.99269,0.98091,0.99402,0.84912,0.94836,0.9242,0.93503,0.8633,0.67206,0.75719,0.03711,0.29168,1.08652,6.30846e-05,6.30846e-05,6.30846e-05
96,7640.78,0.39165,0.42941,0.10915,0.21179,0.9179,0.98471,0.98784,0.99413,0.85111,0.95488,0.92488,0.93859,0.86951,0.67077,0.75057,0.03914,0.28614,1.08599,5.40855e-05,5.40855e-05,5.40855e-05
97,7691.31,0.38742,0.42514,0.10424,0.2112,0.91608,0.99034,0.98072,0.99403,0.85203,0.94915,0.92451,0.94173,0.87423,0.66548,0.74664,0.03704,0.28315,1.08531,4.50864e-05,4.50864e-05,4.50864e-05
98,7741.63,0.37868,0.45672,0.10001,0.20525,0.90861,0.98892,0.9819,0.99402,0.85109,0.94288,0.92648,0.9418,0.87441,0.66632,0.75036,0.03727,0.28352,1.08907,3.60873e-05,3.60873e-05,3.60873e-05
99,7790.62,0.37424,0.40507,0.0976,0.20369,0.90206,0.98114,0.99264,0.99335,0.85039,0.9434,0.92648,0.93828,0.87412,0.66433,0.75367,0.03834,0.28257,1.08852,2.70882e-05,2.70882e-05,2.70882e-05
100,7839.52,0.37297,0.42531,0.09854,0.20442,0.90422,0.97958,0.99282,0.99369,0.85217,0.94587,0.92675,0.94106,0.87588,0.66347,0.75269,0.03762,0.28114,1.08885,1.80891e-05,1.80891e-05,1.80891e-05
