epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1235.4,0.77061,0.67123,0.16267,0.43546,0.86368,0.99271,0.98693,0.99176,0.78034,0.9435,0.94321,0.93633,0.81586,0.88007,1.19116,0.04424,0.43688,0.87123,0.000243067,0.000243067,0.000243067
76,1269.67,0.78576,0.68588,0.1673,0.4473,0.86834,0.99043,0.98727,0.99175,0.77727,0.93945,0.94373,0.93439,0.81709,0.88335,1.17314,0.04384,0.44902,0.87306,0.000234068,0.000234068,0.000234068
77,1300.9,0.76834,0.7324,0.15751,0.43722,0.85534,0.98831,0.98833,0.99126,0.78537,0.94483,0.94611,0.93941,0.8172,0.87909,1.17844,0.04416,0.43602,0.87234,0.000225068,0.000225068,0.000225068
78,1327.28,0.7778,0.76405,0.15746,0.43886,0.85847,0.99283,0.98743,0.99129,0.78311,0.94527,0.93981,0.93596,0.81954,0.88273,1.18197,0.04347,0.43596,0.87319,0.000216069,0.000216069,0.000216069
79,1356.02,0.749,0.62959,0.16847,0.4308,0.86126,0.99021,0.98653,0.99124,0.77894,0.94702,0.94186,0.93522,0.80848,0.87758,1.1978,0.04402,0.43549,0.8711,0.00020707,0.00020707,0.00020707
80,1387.51,0.76393,0.66821,0.15677,0.43326,0.85872,0.99225,0.98673,0.99074,0.77938,0.95309,0.94856,0.95105,0.82635,0.87579,1.14872,0.04354,0.43125,0.87107,0.000198071,0.000198071,0.000198071
81,1421.12,0.76094,0.6729,0.16413,0.42548,0.86523,0.99177,0.98725,0.99214,0.78152,0.94584,0.94222,0.93668,0.81708,0.87886,1.18353,0.0416,0.42473,0.87039,0.000189072,0.000189072,0.000189072
82,1476.84,0.7549,0.70016,0.15721,0.42648,0.85448,0.98806,0.98908,0.99027,0.78405,0.94898,0.95061,0.94184,0.81384,0.87104,1.15917,0.04204,0.42412,0.86896,0.000180073,0.000180073,0.000180073
83,1577.25,0.75951,0.70697,0.15573,0.42327,0.85484,0.99265,0.985,0.99084,0.78627,0.94424,0.93639,0.932,0.81423,0.87605,1.16106,0.04088,0.42584,0.87009,0.000171074,0.000171074,0.000171074
84,1688.19,0.75287,0.74231,0.16289,0.42319,0.86022,0.99219,0.98852,0.99114,0.78581,0.94171,0.93879,0.93648,0.82099,0.87183,1.15827,0.0411,0.42441,0.87011,0.000162075,0.000162075,0.000162075
